Title,Grade,Description,Awarded
Cleanup, bronze badge,  First rollback,44296
Constable, gold badge,  Served as a pro-tem moderator for at least 1 year or through site graduation,0
Sheriff, gold badge,  Served as an elected moderator for at least 1 year,39
Critic, bronze badge,  First down vote,356246
Custodian, bronze badge,  Complete at least one review task. This badge is awarded once per review type,721580
Reviewer, silver badge,  Complete at least 250 review tasks. This badge is awarded once per review type,35350
Steward, gold badge,  Complete at least 1000 review tasks. This badge is awarded once per review type,12699
Disciplined, bronze badge,  Delete own post with score of 3 or higher,11353
Editor, bronze badge,  First edit,2072180
Strunk & White, silver badge,  Edit 80 posts,15501
Copy Editor, gold badge,  Edit 500 posts (excluding own or deleted posts and tag edits),2997
Electorate, gold badge,  Vote on 600 questions and 25% or more of total votes are on questions,18342
Excavator, bronze badge,  Edit first post that was inactive for 6 months,123970
Archaeologist, silver badge,  Edit 100 posts that were inactive for 6 months,2005
Organizer, bronze badge,  First retag,116290
Peer Pressure, bronze badge,  Delete own post with score of -3 or lower,201883
Proofreader, bronze badge,  Approve or reject 100 suggested edits,17114
Sportsmanship, silver badge,  Up vote 100 answers on questions where an answer of yours has a positive score,2654
Suffrage, bronze badge,  Use 30 votes in a day,46216
Supporter, bronze badge,  First up vote,1237115
Synonymizer, bronze badge,  First approved tag synonym,945
Tag Editor, bronze badge,  First tag wiki edit,22753
Research Assistant, silver badge,  Edit 50 tag wikis,298
Taxonomist, silver badge,  Create a tag used by 50 questions,12143
Vox Populi, bronze badge,  Use the maximum 40 votes in a day,30313
Analytical, bronze badge,  Visited every section of the FAQ (retired),43710
Announcer, bronze badge,  Share a link to a question later visited by 25 unique IP addresses,149767
Booster, silver badge,  Share a link to a question later visited by 300 unique IP addresses,3718
Publicist, gold badge,  Share a link to a question later visited by 1000 unique IP addresses,1077
Census, silver badge,  Completed the annual Stack Overflow survey; your responses are anonymous,71061
Informed, bronze badge,  Read the entire tour page,1901314
Not a Robot, silver badge,  Met a Stack Overflow employee at an event where Stack Overflow was an organizer or participant with 50 or more attendees,1003
Documentation Beta, silver badge,  Contributed 3+ substantive pieces of documentation during the private beta,293
Documentation Pioneer, silver badge,  Contributed 3+ substantive pieces of documentation in the first month of documentation,2356
Documentation User, silver badge,  Earned at least one badge for contributing to Stack Overflow Documentation,43253
